,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,cluster_9,cluster_14,hot_or_not
1MtUq6Wp1eQ8PC6BbPCj8P,0.664,0.714,7,-6.645,0,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,197933,3,2,3,N
52Vrauy7m3EtC1aQqj7Rfp,0.57,0.639,7,-4.892,0,0.293,0.625,0.0,0.121,0.85,81.465,135441,4,8,10,N
6qqd7DGn2VXzxsR4k3Ycun,0.714,0.528,0,-5.219,1,0.0381,0.698,0.0,0.12,0.538,91.952,200594,5,4,0,N
2RVrdr062uLFxXwIxwdXPH,0.849,0.724,5,-4.139,1,0.0665,0.0204,5.98e-06,0.235,0.63,98.005,201122,5,1,1,N
4umIPjkehX1r7uhmGvXiSV,0.806,0.546,9,-6.637,1,0.0575,0.3,0.0,0.102,0.874,147.986,212867,0,1,1,N
0o9zmvc5f3EFApU52PPIyW,0.6,0.76,6,-6.124,0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,185573,3,2,12,N
5zLnA9bO6QXc4AAvCriJfO,0.742,0.464,6,-5.624,0,0.0318,0.425,0.0,0.284,0.281,92.107,200742,3,2,12,N
2VcS3oKcOPkubN9LVzZ96l,0.481,0.765,7,-4.025,1,0.0388,0.00381,0.000737,0.119,0.465,102.829,232960,0,5,9,N
4t9a07PAghtQMRAIP9FQ7Z,0.795,0.783,5,-4.271,1,0.0432,0.361,0.0,0.437,0.799,92.01,266087,2,6,1,N
5u7twkeask1VIyDeNTElSU,0.786,0.899,10,-0.515,1,0.127,0.192,0.000189,0.299,0.813,90.025,216510,0,1,9,N
08oX4H0Td1Fza9eBXzmojN,0.898,0.611,10,-4.913,1,0.0735,0.0846,0.0,0.0665,0.683,123.021,240000,0,1,9,N
1Mp0pEQhQhvAXutYpLJOqh,0.619,0.307,7,-10.241,1,0.0371,0.883,2.86e-05,0.363,0.367,129.734,221447,1,0,4,N
2XVilv6s9GETnw9PG4T9Mz,0.74,0.74,5,-3.647,0,0.0686,0.205,0.0,0.107,0.717,93.95,219600,3,2,2,N
2BY7ALEWdloFHgQZG6VMLA,0.716,0.625,1,-11.369,0,0.0601,0.396,1.97e-05,0.134,0.826,125.276,186827,3,2,2,N
3cJjqvXbFwiWgnuWgoyhPM,0.603,0.784,6,-4.023,1,0.062,0.446,8.32e-06,0.119,0.769,172.041,173104,0,1,5,N
0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,206693,5,4,1,N
3BZkEOJwKUYRlkLWZB1izC,0.679,0.69,1,-2.744,0,0.054,0.0256,8.92e-06,0.07,0.648,99.949,226350,3,2,2,N
6pLcaMkr9zB9nVMqe7sToa,0.735,0.416,7,-6.316,1,0.356,0.259,1.65e-05,0.144,0.303,169.967,266218,4,8,10,N
0jT8Nl0shPS8115is0wD2Q,0.606,0.853,9,-2.975,1,0.0545,0.237,0.0,0.251,0.822,178.043,209766,0,1,5,N
2BgEsaKNfHUdlh97KmvFyo,0.697,0.683,1,-2.881,0,0.117,0.0372,0.0,0.137,0.603,96.133,186987,3,2,2,N
7C1trmcQQ5n5RNy4l6ziCv,0.682,0.7,6,-5.591,1,0.0397,0.406,0.0,0.174,0.637,120.03,186878,0,1,1,N
0qc4QlcCxVTGyShurEv1UU,0.59,0.642,7,-3.87,1,0.122,0.0771,0.0,0.105,0.651,107.356,174444,0,1,9,N
6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,200221,4,8,10,N
3H7ihDc1dqLriiWXwsc2po,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,166794,3,2,3,N
7L0ZxkPAVVJ3i0M8Zx6jVT,0.319,0.733,4,-12.13,1,0.0407,0.0338,0.00101,0.343,0.722,136.009,189560,2,5,5,N
0ItaFmeMHPjTWeYzKSgXE3,0.728,0.405,6,-9.974,0,0.198,0.124,0.924,0.241,0.144,159.014,169811,6,7,11,N
4UOfFouPDw0AqVWijbW2ea,0.347,0.674,4,-5.019,1,0.0349,0.26,0.000502,0.249,0.23,120.145,222398,0,5,7,N
0IEpFiWXbmfpiiUHPlPkYC,0.782,0.624,2,-10.807,1,0.415,0.44,0.0,0.119,0.673,142.107,225875,4,8,10,N
5vzA5Lk0rtsDPOcNgnA30l,0.705,0.467,4,-8.349,0,0.038,0.187,0.0361,0.129,0.37,141.977,155638,3,2,12,N
1a7WZZZH7LzyvorhpOJFTe,0.742,0.579,0,-5.024,1,0.202,0.0381,0.0,0.0952,0.502,144.994,258475,5,4,7,N
4cktbXiXOapiLBMprHFErI,0.775,0.327,11,-7.241,1,0.0557,0.841,0.0,0.0821,0.595,91.05,189486,1,0,0,N
6NfrH0ANGmgBXyxgV2PeXt,0.685,0.848,8,-4.561,0,0.0858,0.0861,7.14e-06,0.0783,0.761,179.87,163084,3,2,5,N
7y6c07pgjZvtHI9kuMVqk1,0.781,0.721,5,-9.133,0,0.0514,0.0945,0.391,0.104,0.849,123.011,250337,3,2,3,N
1lWWoec2z1j88GRblI5anV,0.62,0.944,4,-3.082,0,0.0863,0.0014,0.0,0.733,0.592,103.024,192655,2,6,13,N
3HWzoMvoF3TQfYg4UPszDq,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,173325,3,2,12,N
